"Nombre de Archivo: liq 319 2022-feb-25_2022-mar-10 REF.xls"
"Fecha de Creaccion de Registro: 14/03/2022 11:00:14"
"Periodo de liquidacion: 25/feb/2022->10/mar/2022"
"Registros de Conciliacion:"
"CL-ALICE-22 CAMISETA"
"CT-GABY-0101-22 CAMISETA"
"-:CT-GABY-0101-22 CAMISETA,182,18"
"-:3190050209,CT-GABY-0101-22 CAMISETA CORTA MENTA T.P,3"
"-:3190050210,CT-GABY-0101-22 CAMISETA CORTA MENTA T.M,5"
"-:3190050211,CT-GABY-0101-22 CAMISETA CORTA MENTA T.G,6"
"-:3190050212,CT-GABY-0101-22 CAMISETA CORTA MENTA T.EG,4"
"CT-GABY-0102-22 CAMISETA"
"-:CT-GABY-0102-22 CAMISETA,187,22"
"-:3190050213,CT-GABY-0102-22 CAMISETA CORTA PALO ROSA T.P,5"
"-:3190050214,CT-GABY-0102-22 CAMISETA CORTA PALO ROSA T.M,3"
"-:3190050215,CT-GABY-0102-22 CAMISETA CORTA PALO ROSA T.G,8"
"-:3190050216,CT-GABY-0102-22 CAMISETA CORTA PALO ROSA T.EG,6"
"CT-GABY-0103-22 CAMISETA"
"-:CT-GABY-0103-22 CAMISETA,192,24"
"-:3190050197,CT-GABY-0103-22 CAMISETA CORTA PALO ROSA OSCURO T.P,5"
"-:3190050198,CT-GABY-0103-22 CAMISETA CORTA PALO ROSA OSCURO T.M,8"
"-:3190050199,CT-GABY-0103-22 CAMISETA CORTA PALO ROSA OSCURO T.G,6"
"-:3190050200,CT-GABY-0103-22 CAMISETA CORTA PALO ROSA OSCURO T.EG,5"
"CT-GABY-0104-22 CAMISETA"
"-:CT-GABY-0104-22 CAMISETA,197,18"
"-:3190050221,CT-GABY-0104-22 CAMISETA CORTA BEIGE T.P,2"
"-:3190050222,CT-GABY-0104-22 CAMISETA CORTA BEIGE T.M,5"
"-:3190050223,CT-GABY-0104-22 CAMISETA CORTA BEIGE T.G,5"
"-:3190050224,CT-GABY-0104-22 CAMISETA CORTA BEIGE T.EG,6"
"CT-GABY-0105-22 CAMISETA"
"-:CT-GABY-0105-22 CAMISETA,202,35"
"-:3190050229,CT-GABY-0105-22 CAMISETA CORTA BEIGE T.P,7"
"-:3190050230,CT-GABY-0105-22 CAMISETA CORTA BEIGE T.M,10"
"-:3190050231,CT-GABY-0105-22 CAMISETA CORTA BEIGE T.G,9"
"-:3190050232,CT-GABY-0105-22 CAMISETA CORTA BEIGE T.EG,9"
"CT-GABY-0106-22 CAMISETA"
"-:CT-GABY-0106-22 CAMISETA,207,24"
"-:3190050201,CT-GABY-0106-22 CAMISETA CORTA AMARILLO T.P,4"
"-:3190050202,CT-GABY-0106-22 CAMISETA CORTA AMARILLO T.M,5"
"-:3190050203,CT-GABY-0106-22 CAMISETA CORTA AMARILLO T.G,5"
"-:3190050204,CT-GABY-0106-22 CAMISETA CORTA AMARILLO T.EG,10"
"CT-GABY-0107-22 CAMISETA"
"-:CT-GABY-0107-22 CAMISETA,212,15"
"-:3190050217,CT-GABY-0107-22 CAMISETA CORTA NEGRO T.P,3"
"-:3190050218,CT-GABY-0107-22 CAMISETA CORTA NEGRO T.M,3"
"-:3190050219,CT-GABY-0107-22 CAMISETA CORTA NEGRO T.G,6"
"-:3190050220,CT-GABY-0107-22 CAMISETA CORTA NEGRO T.EG,3"
"CT-GABY-0108-22 CAMISETA"
"-:CT-GABY-0108-22 CAMISETA,217,25"
"-:3190050225,CT-GABY-0108-22 CAMISETA CORTA NEGRO T.P,5"
"-:3190050226,CT-GABY-0108-22 CAMISETA CORTA NEGRO T.M,5"
"-:3190050227,CT-GABY-0108-22 CAMISETA CORTA NEGRO T.G,10"
"-:3190050228,CT-GABY-0108-22 CAMISETA CORTA NEGRO T.EG,5"
"CT-GABY-0109-22 CAMISETA"
"-:CT-GABY-0109-22 CAMISETA,222,31"
"-:3190050205,CT-GABY-0109-22 CAMISETA CORTA CELESTE T.P,5"
"-:3190050206,CT-GABY-0109-22 CAMISETA CORTA CELESTE T.M,5"
"-:3190050207,CT-GABY-0109-22 CAMISETA CORTA CELESTE T.G,13"
"-:3190050208,CT-GABY-0109-22 CAMISETA CORTA CELESTE T.EG,8"
"CT-GABY-0210-22 CAMISETA"
"-:CT-GABY-0210-22 CAMISETA,227,45"
"-:3190050245,CT-GABY-0210-22 CAMISETA CORTA NEGRO T.P,5"
"-:3190050246,CT-GABY-0210-22 CAMISETA CORTA NEGRO T.M,12"
"-:3190050247,CT-GABY-0210-22 CAMISETA CORTA NEGRO T.G,10"
"-:3190050248,CT-GABY-0210-22 CAMISETA CORTA NEGRO T.EG,18"
"CT-GABY-0211-22 CAMISETA"
"-:CT-GABY-0211-22 CAMISETA,232,57"
"-:3190050249,CT-GABY-0211-22 CAMISETA CORTA NEGRO T.P,13"
"-:3190050250,CT-GABY-0211-22 CAMISETA CORTA NEGRO T.M,14"
"-:3190050251,CT-GABY-0211-22 CAMISETA CORTA NEGRO T.G,17"
"-:3190050252,CT-GABY-0211-22 CAMISETA CORTA NEGRO T.EG,13"
"CT-GABY-0212-22 CAMISETA"
"-:CT-GABY-0212-22 CAMISETA,237,31"
"-:3190050253,CT-GABY-0212-22 CAMISETA CORTA VERDE MILITAR T.P,4"
"-:3190050254,CT-GABY-0212-22 CAMISETA CORTA VERDE MILITAR T.M,10"
"-:3190050255,CT-GABY-0212-22 CAMISETA CORTA VERDE MILITAR T.G,8"
"-:3190050256,CT-GABY-0212-22 CAMISETA CORTA VERDE MILITAR T.EG,9"
"CT-GABY-0213-22 CAMISETA"
"-:CT-GABY-0213-22 CAMISETA,242,22"
"-:3190050257,CT-GABY-0213-22 CAMISETA CORTA JADE T.P,5"
"-:3190050258,CT-GABY-0213-22 CAMISETA CORTA JADE T.M,4"
"-:3190050259,CT-GABY-0213-22 CAMISETA CORTA JADE T.G,4"
"-:3190050260,CT-GABY-0213-22 CAMISETA CORTA JADE T.EG,9"
"CT-GABY-0214-22 CAMISETA"
"-:CT-GABY-0214-22 CAMISETA,247,54"
"-:3190050261,CT-GABY-0214-22 CAMISETA CORTA PALO ROSA T.P,10"
"-:3190050262,CT-GABY-0214-22 CAMISETA CORTA PALO ROSA T.M,15"
"-:3190050263,CT-GABY-0214-22 CAMISETA CORTA PALO ROSA T.G,14"
"-:3190050264,CT-GABY-0214-22 CAMISETA CORTA PALO ROSA T.EG,15"
"CT-GABY-0215-22 CAMISETA"
"-:CT-GABY-0215-22 CAMISETA,252,26"
"-:3190050265,CT-GABY-0215-22 CAMISETA CORTA PALO ROSA OSCURO T.P,5"
"-:3190050266,CT-GABY-0215-22 CAMISETA CORTA PALO ROSA OSCURO T.M,8"
"-:3190050267,CT-GABY-0215-22 CAMISETA CORTA PALO ROSA OSCURO T.G,7"
"-:3190050268,CT-GABY-0215-22 CAMISETA CORTA PALO ROSA OSCURO T.EG,6"
"CT-GABY-0216-22 CAMISETA"
"-:CT-GABY-0216-22 CAMISETA,257,42"
"-:3190050269,CT-GABY-0216-22 CAMISETA CORTA AZUL MARINO T.P,5"
"-:3190050270,CT-GABY-0216-22 CAMISETA CORTA AZUL MARINO T.M,13"
"-:3190050271,CT-GABY-0216-22 CAMISETA CORTA AZUL MARINO T.G,8"
"-:3190050272,CT-GABY-0216-22 CAMISETA CORTA AZUL MARINO T.EG,16"
"CT-GABY-0217-22 CAMISETA"
"-:CT-GABY-0217-22 CAMISETA,262,63"
"-:3190050273,CT-GABY-0217-22 CAMISETA CORTA BEIGE T.P,16"
"-:3190050274,CT-GABY-0217-22 CAMISETA CORTA BEIGE T.M,17"
"-:3190050275,CT-GABY-0217-22 CAMISETA CORTA BEIGE T.G,17"
"-:3190050276,CT-GABY-0217-22 CAMISETA CORTA BEIGE T.EG,13"
"CT-GABY-0218-22 CAMISETA"
"-:CT-GABY-0218-22 CAMISETA,267,26"
"-:3190050277,CT-GABY-0218-22 CAMISETA CORTA FUCSIA T.P,5"
"-:3190050278,CT-GABY-0218-22 CAMISETA CORTA FUCSIA T.M,9"
"-:3190050279,CT-GABY-0218-22 CAMISETA CORTA FUCSIA T.G,8"
"-:3190050280,CT-GABY-0218-22 CAMISETA CORTA FUCSIA T.EG,4"
"CT-PL-EMILIA-22 CAMISETA"
"-:CT-PL-EMILIA-22 CAMISETA,291,50"
"-:3190050349,CT-PL-EMILIA-22 CAMISETA CORTA BLANCO T.14,1"
"-:3190050350,CT-PL-EMILIA-22 CAMISETA CORTA BLANCO T.16,4"
"-:3190050351,CT-PL-EMILIA-22 CAMISETA CORTA BLANCO T.18,7"
"-:3190050352,CT-PL-EMILIA-22 CAMISETA CORTA BLANCO T.20,1"
"-:3190050357,CT-PL-EMILIA-22 CAMISETA CORTA MELON T.14,1"
"-:3190050358,CT-PL-EMILIA-22 CAMISETA CORTA MELON T.16,1"
"-:3190050359,CT-PL-EMILIA-22 CAMISETA CORTA MELON T.18,4"
"-:3190050360,CT-PL-EMILIA-22 CAMISETA CORTA MELON T.20,2"
"-:3190050361,CT-PL-EMILIA-22 CAMISETA CORTA MENTA T.14,2"
"-:3190050362,CT-PL-EMILIA-22 CAMISETA CORTA MENTA T.16,2"
"-:3190050363,CT-PL-EMILIA-22 CAMISETA CORTA MENTA T.18,3"
"-:3190050364,CT-PL-EMILIA-22 CAMISETA CORTA MENTA T.20,2"
"-:3190050366,CT-PL-EMILIA-22 CAMISETA CORTA NEGRO T.16,2"
"-:3190050367,CT-PL-EMILIA-22 CAMISETA CORTA NEGRO T.18,3"
"-:3190050368,CT-PL-EMILIA-22 CAMISETA CORTA NEGRO T.20,3"
"-:3190050369,CT-PL-EMILIA-22 CAMISETA CORTA CORAL T.14,1"
"-:3190050370,CT-PL-EMILIA-22 CAMISETA CORTA CORAL T.16,2"
"-:3190050371,CT-PL-EMILIA-22 CAMISETA CORTA CORAL T.18,2"
"-:3190050372,CT-PL-EMILIA-22 CAMISETA CORTA CORAL T.20,3"
"-:3190051170,CT-PL-EMILIA-22 CAMISETA CORTA AZUL MARINO T.16,1"
"-:3190051171,CT-PL-EMILIA-22 CAMISETA CORTA AZUL MARINO T.18,1"
"-:3190051172,CT-PL-EMILIA-22 CAMISETA CORTA AZUL MARINO T.20,1"
"-:3190051174,CT-PL-EMILIA-22 CAMISETA CORTA ROSADO T.16,1"
"CT-PL-PLR-02-22"
"-:CT-PL-PLR-02-22,301,43"
"-:3193720099,CT-PL-PLR-02-22 LEGGINS INFORMAL GRIS CLARO T.18,1"
"-:3193720101,CT-PL-PLR-02-22 LEGGINS INFORMAL GRIS OSCURO T.14,1"
"-:3193720102,CT-PL-PLR-02-22 LEGGINS INFORMAL GRIS OSCURO T.16,1"
"-:3193720103,CT-PL-PLR-02-22 LEGGINS INFORMAL GRIS OSCURO T.18,1"
"-:3193720104,CT-PL-PLR-02-22 LEGGINS INFORMAL GRIS OSCURO T.20,4"
"-:3193720105,CT-PL-PLR-02-22 LEGGINS INFORMAL NEGRO T.14,6"
"-:3193720106,CT-PL-PLR-02-22 LEGGINS INFORMAL NEGRO T.16,12"
"-:3193720107,CT-PL-PLR-02-22 LEGGINS INFORMAL NEGRO T.18,11"
"-:3193720108,CT-PL-PLR-02-22 LEGGINS INFORMAL NEGRO T.20,6"
"CT-PLR-02-22"
"-:CT-PLR-02-22,312,93"
"-:3193720086,CT-PLR-02-22 LEGGINS INFORMAL GRIS CLARO T.M,1"
"-:3193720087,CT-PLR-02-22 LEGGINS INFORMAL GRIS CLARO T.G,1"
"-:3193720089,CT-PLR-02-22 LEGGINS INFORMAL GRIS OSCURO T.P,2"
"-:3193720090,CT-PLR-02-22 LEGGINS INFORMAL GRIS OSCURO T.M,2"
